ID,protocol id,series_ref,quarter,expenditures,groups,index,quarterly,annually,year
27,All households,HPIQ.SALL011,1,Fruit and vegetables,subgroup,1265,9.4,16.7,2022
28,All households,HPIQ.SALL011,2,Fruit and vegetables,subgroup,1252,-1.0,8.4,2022
29,All households,HPIQ.SALL011,3,Fruit and vegetables,subgroup,1456,16.3,13.7,2022
30,All households,HPIQ.SALL012,1,"Meat, poultry and fish",subgroup,1021,-0.2,2.1,2019
31,All households,HPIQ.SALL012,2,"Meat, poultry and fish",subgroup,1023,0.2,2.6,2019
32,All households,HPIQ.SALL012,3,"Meat, poultry and fish",subgroup,1058,3.4,6.3,2019
33,All households,HPIQ.SALL012,4,"Meat, poultry and fish",subgroup,1072,1.3,4.8,2019
34,All households,HPIQ.SALL012,1,"Meat, poultry and fish",subgroup,1091,1.8,6.9,2020
35,All households,HPIQ.SALL012,2,"Meat, poultry and fish",subgroup,1072,-1.7,4.8,2020
36,All households,HPIQ.SALL012,3,"Meat, poultry and fish",subgroup,1076,0.4,1.7,2020
37,All households,HPIQ.SALL012,4,"Meat, poultry and fish",subgroup,1073,-0.3,0.1,2020
38,All households,HPIQ.SALL012,1,"Meat, poultry and fish",subgroup,1066,-0.7,-2.3,2021
39,All households,HPIQ.SALL012,2,"Meat, poultry and fish",subgroup,1067,0.1,-0.5,2021
40,All households,HPIQ.SALL012,3,"Meat, poultry and fish",subgroup,1096,2.7,1.9,2021
41,All households,HPIQ.SALL012,4,"Meat, poultry and fish",subgroup,1106,0.9,3.1,2021
42,All households,HPIQ.SALL012,1,"Meat, poultry and fish",subgroup,1143,3.3,7.2,2022
43,All households,HPIQ.SALL012,2,"Meat, poultry and fish",subgroup,1144,0.1,7.2,2022
44,All households,HPIQ.SALL012,3,"Meat, poultry and fish",subgroup,1176,2.8,7.3,2022
45,All households,HPIQ.SALL013,1,Grocery food,subgroup,998,0.7,0.9,2019
46,All households,HPIQ.SALL013,2,Grocery food,subgroup,1000,0.2,1.6,2019
47,All households,HPIQ.SALL013,3,Grocery food,subgroup,1006,0.6,1.9,2019
48,All households,HPIQ.SALL013,4,Grocery food,subgroup,1008,0.2,1.7,2019
49,All households,HPIQ.SALL013,1,Grocery food,subgroup,1029,2.1,3.1,2020
50,All households,HPIQ.SALL013,2,Grocery food,subgroup,1034,0.5,3.4,2020
51,All households,HPIQ.SALL013,3,Grocery food,subgroup,1018,-1.5,1.2,2020
52,All households,HPIQ.SALL013,4,Grocery food,subgroup,1017,-0.1,0.9,2020
53,All households,HPIQ.SALL013,1,Grocery food,subgroup,1025,0.8,-0.4,2021
54,All households,HPIQ.SALL013,2,Grocery food,subgroup,1030,0.5,-0.4,2021
55,All households,HPIQ.SALL013,3,Grocery food,subgroup,1045,1.5,2.7,2021
56,All households,HPIQ.SALL013,4,Grocery food,subgroup,1058,1.2,4.0,2021
57,All households,HPIQ.SALL013,1,Grocery food,subgroup,1084,2.5,5.8,2022
58,All households,HPIQ.SALL013,2,Grocery food,subgroup,1105,1.9,7.3,2022
59,All households,HPIQ.SALL013,3,Grocery food,subgroup,1128,2.1,7.9,2022
60,All households,HPIQ.SALL014,1,Non-alcoholic beverages,subgroup,1027,1.2,1.5,2019
61,All households,HPIQ.SALL014,2,Non-alcoholic beverages,subgroup,1033,0.6,-0.2,2019
62,All households,HPIQ.SALL014,3,Non-alcoholic beverages,subgroup,1050,1.6,0.9,2019
63,All households,HPIQ.SALL014,4,Non-alcoholic beverages,subgroup,1035,-1.4,2.0,2019
64,All households,HPIQ.SALL014,1,Non-alcoholic beverages,subgroup,1051,1.5,2.3,2020
65,All households,HPIQ.SALL014,2,Non-alcoholic beverages,subgroup,1056,0.5,2.2,2020
66,All households,HPIQ.SALL014,3,Non-alcoholic beverages,subgroup,1054,-0.2,0.4,2020
67,All households,HPIQ.SALL014,4,Non-alcoholic beverages,subgroup,1048,-0.6,1.3,2020
68,All households,HPIQ.SALL014,1,Non-alcoholic beverages,subgroup,1052,0.4,0.1,2021
69,All households,HPIQ.SALL014,2,Non-alcoholic beverages,subgroup,1048,-0.4,-0.8,2021
70,All households,HPIQ.SALL014,3,Non-alcoholic beverages,subgroup,1055,0.7,0.1,2021
71,All households,HPIQ.SALL014,4,Non-alcoholic beverages,subgroup,1053,-0.2,0.5,2021
72,All households,HPIQ.SALL014,1,Non-alcoholic beverages,subgroup,1076,2.2,2.3,2022
73,All households,HPIQ.SALL014,2,Non-alcoholic beverages,subgroup,1086,0.9,3.6,2022
74,All households,HPIQ.SALL014,3,Non-alcoholic beverages,subgroup,1105,1.7,4.7,2022
75,All households,HPIQ.SALL015,1,Restaurant meals and ready-to-eat food,subgroup,1110,0.5,2.9,2019
76,All households,HPIQ.SALL015,2,Restaurant meals and ready-to-eat food,subgroup,1126,1.4,3.3,2019
77,All households,HPIQ.SALL015,3,Restaurant meals and ready-to-eat food,subgroup,1133,0.6,3.2,2019
78,All households,HPIQ.SALL015,4,Restaurant meals and ready-to-eat food,subgroup,1141,0.7,3.4,2019
79,All households,HPIQ.SALL015,1,Restaurant meals and ready-to-eat food,subgroup,1151,0.9,3.7,2020
80,All households,HPIQ.SALL015,2,Restaurant meals and ready-to-eat food,subgroup,1168,1.5,3.7,2020
81,All households,HPIQ.SALL015,3,Restaurant meals and ready-to-eat food,subgroup,1177,0.8,3.9,2020
82,All households,HPIQ.SALL015,4,Restaurant meals and ready-to-eat food,subgroup,1183,0.5,3.7,2020
83,All households,HPIQ.SALL015,1,Restaurant meals and ready-to-eat food,subgroup,1194,0.9,3.7,2021
84,All households,HPIQ.SALL015,2,Restaurant meals and ready-to-eat food,subgroup,1216,1.8,4.1,2021
85,All households,HPIQ.SALL015,3,Restaurant meals and ready-to-eat food,subgroup,1229,1.1,4.4,2021
86,All households,HPIQ.SALL015,4,Restaurant meals and ready-to-eat food,subgroup,1241,1.0,4.9,2021
87,All households,HPIQ.SALL015,1,Restaurant meals and ready-to-eat food,subgroup,1255,1.1,5.1,2022
88,All households,HPIQ.SALL015,2,Restaurant meals and ready-to-eat food,subgroup,1287,2.5,5.8,2022
89,All households,HPIQ.SALL015,3,Restaurant meals and ready-to-eat food,subgroup,1311,1.9,6.7,2022
90,All households,HPIQ.SALL02,1,Alcoholic beverages and tobacco,group,1248,5.0,4.5,2019
91,All households,HPIQ.SALL02,2,Alcoholic beverages and tobacco,group,1253,0.4,3.6,2019
92,All households,HPIQ.SALL02,3,Alcoholic beverages and tobacco,group,1255,0.2,4.0,2019
93,All households,HPIQ.SALL02,4,Alcoholic beverages and tobacco,group,1249,-0.5,5.0,2019
94,All households,HPIQ.SALL02,1,Alcoholic beverages and tobacco,group,1317,5.4,5.5,2020
95,All households,HPIQ.SALL02,2,Alcoholic beverages and tobacco,group,1322,0.4,5.5,2020
96,All households,HPIQ.SALL02,3,Alcoholic beverages and tobacco,group,1324,0.2,5.5,2020
97,All households,HPIQ.SALL02,4,Alcoholic beverages and tobacco,group,1329,0.4,6.4,2020
98,All households,HPIQ.SALL02,1,Alcoholic beverages and tobacco,group,1350,1.6,2.5,2021
99,All households,HPIQ.SALL02,2,Alcoholic beverages and tobacco,group,1352,0.1,2.3,2021
100,All households,HPIQ.SALL02,3,Alcoholic beverages and tobacco,group,1357,0.4,2.5,2021
101,All households,HPIQ.SALL02,4,Alcoholic beverages and tobacco,group,1352,-0.4,1.7,2021
102,All households,HPIQ.SALL02,1,Alcoholic beverages and tobacco,group,1389,2.7,2.9,2022
103,All households,HPIQ.SALL02,2,Alcoholic beverages and tobacco,group,1402,0.9,3.7,2022
104,All households,HPIQ.SALL02,3,Alcoholic beverages and tobacco,group,1421,1.4,4.7,2022
105,All households,HPIQ.SALL021,1,Alcoholic beverages,subgroup,1036,2.1,2.2,2019
106,All households,HPIQ.SALL021,2,Alcoholic beverages,subgroup,1043,0.7,0.8,2019
107,All households,HPIQ.SALL021,3,Alcoholic beverages,subgroup,1047,0.4,1.4,2019
108,All households,HPIQ.SALL021,4,Alcoholic beverages,subgroup,1038,-0.9,2.3,2019
109,All households,HPIQ.SALL021,1,Alcoholic beverages,subgroup,1048,1.0,1.2,2020
110,All households,HPIQ.SALL021,2,Alcoholic beverages,subgroup,1061,1.2,1.7,2020
111,All households,HPIQ.SALL021,3,Alcoholic beverages,subgroup,1061,0.0,1.3,2020
112,All households,HPIQ.SALL021,4,Alcoholic beverages,subgroup,1063,0.2,2.4,2020
113,All households,HPIQ.SALL021,1,Alcoholic beverages,subgroup,1071,0.8,2.2,2021
114,All households,HPIQ.SALL021,2,Alcoholic beverages,subgroup,1076,0.5,1.4,2021
115,All households,HPIQ.SALL021,3,Alcoholic beverages,subgroup,1083,0.7,2.1,2021
116,All households,HPIQ.SALL021,4,Alcoholic beverages,subgroup,1077,-0.6,1.3,2021
117,All households,HPIQ.SALL021,1,Alcoholic beverages,subgroup,1093,1.5,2.1,2022
118,All households,HPIQ.SALL021,2,Alcoholic beverages,subgroup,1111,1.6,3.3,2022
119,All households,HPIQ.SALL021,3,Alcoholic beverages,subgroup,1139,2.5,5.2,2022
120,All households,HPIQ.SALL022,1,Cigarettes and tobacco,subgroup,1630,9.0,7.6,2019
121,All households,HPIQ.SALL022,2,Cigarettes and tobacco,subgroup,1631,0.1,7.5,2019
122,All households,HPIQ.SALL022,3,Cigarettes and tobacco,subgroup,1632,0.1,7.7,2019
123,All households,HPIQ.SALL022,4,Cigarettes and tobacco,subgroup,1632,0.0,9.1,2019
124,All households,HPIQ.SALL022,1,Cigarettes and tobacco,subgroup,1812,11.0,11.2,2020
125,All households,HPIQ.SALL022,2,Cigarettes and tobacco,subgroup,1803,-0.5,10.5,2020
126,All households,HPIQ.SALL022,3,Cigarettes and tobacco,subgroup,1807,0.2,10.7,2020
127,All households,HPIQ.SALL022,4,Cigarettes and tobacco,subgroup,1817,0.6,11.3,2020
128,All households,HPIQ.SALL022,1,Cigarettes and tobacco,subgroup,1865,2.6,2.9,2021
129,All households,HPIQ.SALL022,2,Cigarettes and tobacco,subgroup,1861,-0.2,3.2,2021
130,All households,HPIQ.SALL022,3,Cigarettes and tobacco,subgroup,1862,0.1,3.0,2021
131,All households,HPIQ.SALL022,4,Cigarettes and tobacco,subgroup,1860,-0.1,2.4,2021
132,All households,HPIQ.SALL022,1,Cigarettes and tobacco,subgroup,1938,4.2,3.9,2022
133,All households,HPIQ.SALL022,2,Cigarettes and tobacco,subgroup,1940,0.1,4.2,2022
134,All households,HPIQ.SALL022,3,Cigarettes and tobacco,subgroup,1940,0.0,4.2,2022
135,All households,HPIQ.SALL03,1,Clothing and footwear,group,998,0.3,-0.3,2019
136,All households,HPIQ.SALL03,2,Clothing and footwear,group,1006,0.8,-0.2,2019
137,All households,HPIQ.SALL03,3,Clothing and footwear,group,999,-0.7,-0.9,2019
138,All households,HPIQ.SALL03,4,Clothing and footwear,group,1009,1.0,1.4,2019
139,All households,HPIQ.SALL03,1,Clothing and footwear,group,1007,-0.2,0.9,2020
140,All households,HPIQ.SALL03,2,Clothing and footwear,group,977,-3.0,-2.9,2020
141,All households,HPIQ.SALL03,3,Clothing and footwear,group,986,0.9,-1.3,2020
142,All households,HPIQ.SALL03,4,Clothing and footwear,group,1002,1.6,-0.7,2020
143,All households,HPIQ.SALL03,1,Clothing and footwear,group,994,-0.8,-1.3,2021
144,All households,HPIQ.SALL03,2,Clothing and footwear,group,1025,3.1,4.9,2021
145,All households,HPIQ.SALL03,3,Clothing and footwear,group,1026,0.1,4.1,2021
146,All households,HPIQ.SALL03,4,Clothing and footwear,group,1029,0.3,2.7,2021
147,All households,HPIQ.SALL03,1,Clothing and footwear,group,1022,-0.7,2.8,2022
148,All households,HPIQ.SALL03,2,Clothing and footwear,group,1030,0.8,0.5,2022
149,All households,HPIQ.SALL03,3,Clothing and footwear,group,1043,1.3,1.7,2022
150,All households,HPIQ.SALL031,1,Clothing,subgroup,991,0.4,-1.2,2019
151,All households,HPIQ.SALL031,2,Clothing,subgroup,999,0.8,-0.2,2019
152,All households,HPIQ.SALL031,3,Clothing,subgroup,993,-0.6,-1.0,2019
153,All households,HPIQ.SALL031,4,Clothing,subgroup,1005,1.2,1.8,2019
154,All households,HPIQ.SALL031,1,Clothing,subgroup,1006,0.1,1.5,2020
155,All households,HPIQ.SALL031,2,Clothing,subgroup,988,-1.8,-1.1,2020
156,All households,HPIQ.SALL031,3,Clothing,subgroup,992,0.4,-0.1,2020
157,All households,HPIQ.SALL031,4,Clothing,subgroup,1008,1.6,0.3,2020
158,All households,HPIQ.SALL031,1,Clothing,subgroup,998,-1.0,-0.8,2021
159,All households,HPIQ.SALL031,2,Clothing,subgroup,1024,2.6,3.6,2021
160,All households,HPIQ.SALL031,3,Clothing,subgroup,1024,0.0,3.2,2021
161,All households,HPIQ.SALL031,4,Clothing,subgroup,1027,0.3,1.9,2021
162,All households,HPIQ.SALL031,1,Clothing,subgroup,1020,-0.7,2.2,2022
163,All households,HPIQ.SALL031,2,Clothing,subgroup,1025,0.5,0.1,2022
164,All households,HPIQ.SALL031,3,Clothing,subgroup,1037,1.2,1.3,2022
165,All households,HPIQ.SALL032,1,Footwear,subgroup,1028,-0.3,3.6,2019
166,All households,HPIQ.SALL032,2,Footwear,subgroup,1036,0.8,-0.2,2019
167,All households,HPIQ.SALL032,3,Footwear,subgroup,1025,-1.1,-0.4,2019
168,All households,HPIQ.SALL032,4,Footwear,subgroup,1026,0.1,-0.5,2019
169,All households,HPIQ.SALL032,1,Footwear,subgroup,1011,-1.5,-1.7,2020
170,All households,HPIQ.SALL032,2,Footwear,subgroup,927,-8.3,-10.5,2020
171,All households,HPIQ.SALL032,3,Footwear,subgroup,961,3.7,-6.2,2020
172,All households,HPIQ.SALL032,4,Footwear,subgroup,976,1.6,-4.9,2020
173,All households,HPIQ.SALL032,1,Footwear,subgroup,980,0.4,-3.1,2021
174,All households,HPIQ.SALL032,2,Footwear,subgroup,1033,5.4,11.4,2021
175,All households,HPIQ.SALL032,3,Footwear,subgroup,1036,0.3,7.8,2021
176,All households,HPIQ.SALL032,4,Footwear,subgroup,1042,0.6,6.8,2021
177,All households,HPIQ.SALL032,1,Footwear,subgroup,1030,-1.2,5.1,2022
178,All households,HPIQ.SALL032,2,Footwear,subgroup,1055,2.4,2.1,2022
179,All households,HPIQ.SALL032,3,Footwear,subgroup,1071,1.5,3.4,2022
180,All households,HPIQ.SALL04,1,Housing and household utilities,group,1124,0.5,2.9,2019
181,All households,HPIQ.SALL04,2,Housing and household utilities,group,1132,0.7,2.8,2019
182,All households,HPIQ.SALL04,3,Housing and household utilities,group,1148,1.4,3.1,2019
183,All households,HPIQ.SALL04,4,Housing and household utilities,group,1154,0.5,3.2,2019
184,All households,HPIQ.SALL04,1,Housing and household utilities,group,1165,1.0,3.6,2020
185,All households,HPIQ.SALL04,2,Housing and household utilities,group,1171,0.5,3.4,2020
186,All households,HPIQ.SALL04,3,Housing and household utilities,group,1182,0.9,3.0,2020
187,All households,HPIQ.SALL04,4,Housing and household utilities,group,1183,0.1,2.5,2020
188,All households,HPIQ.SALL04,1,Housing and household utilities,group,1192,0.8,2.3,2021
189,All households,HPIQ.SALL04,2,Housing and household utilities,group,1201,0.8,2.6,2021
190,All households,HPIQ.SALL04,3,Housing and household utilities,group,1222,1.7,3.4,2021
191,All households,HPIQ.SALL04,4,Housing and household utilities,group,1231,0.7,4.1,2021
192,All households,HPIQ.SALL04,1,Housing and household utilities,group,1243,1.0,4.3,2022
193,All households,HPIQ.SALL04,2,Housing and household utilities,group,1259,1.3,4.8,2022
194,All households,HPIQ.SALL04,3,Housing and household utilities,group,1282,1.8,4.9,2022
195,All households,HPIQ.SALL041,1,Actual rentals for housing,subgroup,1110,0.5,2.3,2019
196,All households,HPIQ.SALL041,2,Actual rentals for housing,subgroup,1122,1.1,2.7,2019
197,All households,HPIQ.SALL041,3,Actual rentals for housing,subgroup,1131,0.8,3.1,2019
198,All households,HPIQ.SALL041,4,Actual rentals for housing,subgroup,1141,0.9,3.4,2019
199,All households,HPIQ.SALL041,1,Actual rentals for housing,subgroup,1156,1.3,4.1,2020
200,All households,HPIQ.SALL041,2,Actual rentals for housing,subgroup,1165,0.8,3.8,2020
201,All households,HPIQ.SALL041,3,Actual rentals for housing,subgroup,1171,0.5,3.5,2020
202,All households,HPIQ.SALL041,4,Actual rentals for housing,subgroup,1178,0.6,3.2,2020
203,All households,HPIQ.SALL041,1,Actual rentals for housing,subgroup,1192,1.2,3.1,2021
204,All households,HPIQ.SALL041,2,Actual rentals for housing,subgroup,1204,1.0,3.3,2021
205,All households,HPIQ.SALL041,3,Actual rentals for housing,subgroup,1215,0.9,3.8,2021
206,All households,HPIQ.SALL041,4,Actual rentals for housing,subgroup,1230,1.2,4.4,2021
207,All households,HPIQ.SALL041,1,Actual rentals for housing,subgroup,1245,1.2,4.4,2022
208,All households,HPIQ.SALL041,2,Actual rentals for housing,subgroup,1263,1.4,4.9,2022
209,All households,HPIQ.SALL041,3,Actual rentals for housing,subgroup,1277,1.1,5.1,2022
210,All households,HPIQ.SALL04101,1,Actual rentals for housing,class,1110,0.5,2.3,2019
211,All households,HPIQ.SALL04101,2,Actual rentals for housing,class,1122,1.1,2.7,2019
212,All households,HPIQ.SALL04101,3,Actual rentals for housing,class,1131,0.8,3.1,2019
213,All households,HPIQ.SALL04101,4,Actual rentals for housing,class,1141,0.9,3.4,2019
214,All households,HPIQ.SALL04101,1,Actual rentals for housing,class,1156,1.3,4.1,2020
215,All households,HPIQ.SALL04101,2,Actual rentals for housing,class,1165,0.8,3.8,2020
216,All households,HPIQ.SALL04101,3,Actual rentals for housing,class,1171,0.5,3.5,2020
217,All households,HPIQ.SALL04101,4,Actual rentals for housing,class,1178,0.6,3.2,2020
218,All households,HPIQ.SALL04101,1,Actual rentals for housing,class,1192,1.2,3.1,2021
219,All households,HPIQ.SALL04101,2,Actual rentals for housing,class,1204,1.0,3.3,2021
220,All households,HPIQ.SALL04101,3,Actual rentals for housing,class,1215,0.9,3.8,2021
221,All households,HPIQ.SALL04101,4,Actual rentals for housing,class,1230,1.2,4.4,2021
222,All households,HPIQ.SALL04101,1,Actual rentals for housing,class,1245,1.2,4.4,2022
223,All households,HPIQ.SALL04101,2,Actual rentals for housing,class,1263,1.4,4.9,2022
224,All households,HPIQ.SALL04101,3,Actual rentals for housing,class,1277,1.1,5.1,2022
225,All households,HPIQ.SALL043,1,Property maintenance,subgroup,1138,0.3,2.2,2019
226,All households,HPIQ.SALL043,2,Property maintenance,subgroup,1146,0.7,2.3,2019
227,All households,HPIQ.SALL043,3,Property maintenance,subgroup,1157,1.0,2.6,2019
228,All households,HPIQ.SALL043,4,Property maintenance,subgroup,1163,0.5,2.5,2019
229,All households,HPIQ.SALL043,1,Property maintenance,subgroup,1172,0.8,3.0,2020
230,All households,HPIQ.SALL043,2,Property maintenance,subgroup,1186,1.2,3.5,2020
231,All households,HPIQ.SALL043,3,Property maintenance,subgroup,1192,0.5,3.0,2020
232,All households,HPIQ.SALL043,4,Property maintenance,subgroup,1197,0.4,2.9,2020
233,All households,HPIQ.SALL043,1,Property maintenance,subgroup,1204,0.6,2.7,2021
234,All households,HPIQ.SALL043,2,Property maintenance,subgroup,1221,1.4,3.0,2021
235,All households,HPIQ.SALL043,3,Property maintenance,subgroup,1238,1.4,3.9,2021
236,All households,HPIQ.SALL043,4,Property maintenance,subgroup,1270,2.6,6.1,2021
237,All households,HPIQ.SALL043,1,Property maintenance,subgroup,1290,1.6,7.1,2022
238,All households,HPIQ.SALL043,2,Property maintenance,subgroup,1317,2.1,7.9,2022
239,All households,HPIQ.SALL043,3,Property maintenance,subgroup,1342,1.9,8.4,2022
240,All households,HPIQ.SALL044,1,Property rates and related services,subgroup,1220,0.0,4.7,2019
241,All households,HPIQ.SALL044,2,Property rates and related services,subgroup,1221,0.1,4.8,2019
242,All households,HPIQ.SALL044,3,Property rates and related services,subgroup,1281,4.9,5.1,2019
243,All households,HPIQ.SALL044,4,Property rates and related services,subgroup,1281,0.0,5.0,2019
244,All households,HPIQ.SALL044,1,Property rates and related services,subgroup,1281,0.0,5.0,2020
245,All households,HPIQ.SALL044,2,Property rates and related services,subgroup,1282,0.1,5.0,2020
246,All households,HPIQ.SALL044,3,Property rates and related services,subgroup,1320,3.0,3.0,2020
247,All households,HPIQ.SALL044,4,Property rates and related services,subgroup,1320,0.0,3.0,2020
248,All households,HPIQ.SALL044,1,Property rates and related services,subgroup,1320,0.0,3.0,2021
249,All households,HPIQ.SALL044,2,Property rates and related services,subgroup,1320,0.0,3.0,2021
250,All households,HPIQ.SALL044,3,Property rates and related services,subgroup,1413,7.0,7.0,2021
251,All households,HPIQ.SALL044,4,Property rates and related services,subgroup,1413,0.0,7.0,2021
252,All households,HPIQ.SALL044,1,Property rates and related services,subgroup,1413,0.0,7.0,2022
253,All households,HPIQ.SALL044,2,Property rates and related services,subgroup,1414,0.1,7.1,2022
254,All households,HPIQ.SALL044,3,Property rates and related services,subgroup,1514,7.1,7.1,2022
255,All households,HPIQ.SALL04403,1,Local authority rates and payments,class,1240,0.0,5.2,2019
256,All households,HPIQ.SALL04403,2,Local authority rates and payments,class,1240,0.0,5.2,2019
257,All households,HPIQ.SALL04403,3,Local authority rates and payments,class,1301,4.9,4.9,2019
258,All households,HPIQ.SALL04403,4,Local authority rates and payments,class,1301,0.0,4.9,2019
259,All households,HPIQ.SALL04403,1,Local authority rates and payments,class,1301,0.0,4.9,2020
260,All households,HPIQ.SALL04403,2,Local authority rates and payments,class,1301,0.0,4.9,2020
261,All households,HPIQ.SALL04403,3,Local authority rates and payments,class,1341,3.1,3.1,2020
262,All households,HPIQ.SALL04403,4,Local authority rates and payments,class,1341,0.0,3.1,2020
263,All households,HPIQ.SALL04403,1,Local authority rates and payments,class,1341,0.0,3.1,2021
264,All households,HPIQ.SALL04403,2,Local authority rates and payments,class,1341,0.0,3.1,2021
265,All households,HPIQ.SALL04403,3,Local authority rates and payments,class,1436,7.1,7.1,2021
266,All households,HPIQ.SALL04403,4,Local authority rates and payments,class,1436,0.0,7.1,2021
267,All households,HPIQ.SALL04403,1,Local authority rates and payments,class,1436,0.0,7.1,2022
268,All households,HPIQ.SALL04403,2,Local authority rates and payments,class,1436,0.0,7.1,2022
269,All households,HPIQ.SALL04403,3,Local authority rates and payments,class,1541,7.3,7.3,2022
270,All households,HPIQ.SALL045,1,Household energy,subgroup,1079,1.2,2.7,2019
271,All households,HPIQ.SALL045,2,Household energy,subgroup,1085,0.6,1.6,2019
272,All households,HPIQ.SALL045,3,Household energy,subgroup,1083,-0.2,1.5,2019
273,All households,HPIQ.SALL045,4,Household energy,subgroup,1084,0.1,1.7,2019
274,All households,HPIQ.SALL045,1,Household energy,subgroup,1096,1.1,1.6,2020
275,All households,HPIQ.SALL045,2,Household energy,subgroup,1101,0.5,1.5,2020
276,All households,HPIQ.SALL045,3,Household energy,subgroup,1101,0.0,1.7,2020
277,All households,HPIQ.SALL045,4,Household energy,subgroup,1090,-1.0,0.6,2020
278,All households,HPIQ.SALL045,1,Household energy,subgroup,1093,0.3,-0.3,2021
279,All households,HPIQ.SALL045,2,Household energy,subgroup,1097,0.4,-0.4,2021
280,All households,HPIQ.SALL045,3,Household energy,subgroup,1095,-0.2,-0.5,2021
281,All households,HPIQ.SALL045,4,Household energy,subgroup,1084,-1.0,-0.6,2021
282,All households,HPIQ.SALL045,1,Household energy,subgroup,1098,1.3,0.5,2022
283,All households,HPIQ.SALL045,2,Household energy,subgroup,1118,1.8,1.9,2022
284,All households,HPIQ.SALL045,3,Household energy,subgroup,1102,-1.4,0.6,2022
285,All households,HPIQ.SALL04501,1,Electricity,class,1075,1.2,2.6,2019
286,All households,HPIQ.SALL04501,2,Electricity,class,1080,0.5,1.4,2019
287,All households,HPIQ.SALL04501,3,Electricity,class,1078,-0.2,1.3,2019
288,All households,HPIQ.SALL04501,4,Electricity,class,1076,-0.2,1.3,2019
289,All households,HPIQ.SALL04501,1,Electricity,class,1090,1.3,1.4,2020
290,All households,HPIQ.SALL04501,2,Electricity,class,1094,0.4,1.3,2020
291,All households,HPIQ.SALL04501,3,Electricity,class,1095,0.1,1.6,2020
292,All households,HPIQ.SALL04501,4,Electricity,class,1082,-1.2,0.6,2020
293,All households,HPIQ.SALL04501,1,Electricity,class,1086,0.4,-0.4,2021
294,All households,HPIQ.SALL04501,2,Electricity,class,1089,0.3,-0.5,2021
295,All households,HPIQ.SALL04501,3,Electricity,class,1086,-0.3,-0.8,2021
296,All households,HPIQ.SALL04501,4,Electricity,class,1074,-1.1,-0.7,2021
297,All households,HPIQ.SALL04501,1,Electricity,class,1089,1.4,0.3,2022
298,All households,HPIQ.SALL04501,2,Electricity,class,1108,1.7,1.7,2022
299,All households,HPIQ.SALL04501,3,Electricity,class,1089,-1.7,0.3,2022
300,All households,HPIQ.SALL05,1,Household contents and services,group,992,-0.9,-1.0,2019
301,All households,HPIQ.SALL05,2,Household contents and services,group,1017,2.5,1.6,2019
302,All households,HPIQ.SALL05,3,Household contents and services,group,1017,0.0,0.7,2019
303,All households,HPIQ.SALL05,4,Household contents and services,group,1018,0.1,1.7,2019
304,All households,HPIQ.SALL05,1,Household contents and services,group,1009,-0.9,1.7,2020
305,All households,HPIQ.SALL05,2,Household contents and services,group,1004,-0.5,-1.3,2020
306,All households,HPIQ.SALL05,3,Household contents and services,group,1028,2.4,1.1,2020
