protocol id,series_ref,quarter,expenditures,groups,index,quarterly,annually,year,ID
All households,HPIQ.SALL06,2,Health,group,1053,0.6,1.2,2019,1498
All households,HPIQ.SALL06,3,Health,group,1055,0.2,0.8,2019,1499
All households,HPIQ.SALL06,4,Health,group,1062,0.7,1,2019,1500
All households,HPIQ.SALL061,1,"Medical products, appliances and equipment",subgroup,989,-0.8,-1.7,2019,1551
All households,HPIQ.SALL061,2,"Medical products, appliances and equipment",subgroup,1001,1.2,0.8,2019,1552
All households,HPIQ.SALL061,3,"Medical products, appliances and equipment",subgroup,994,-0.7,-0.2,2019,1553
All households,HPIQ.SALL061,4,"Medical products, appliances and equipment",subgroup,1001,0.7,0.4,2019,1554
All households,HPIQ.SALL062,1,Out-patient services,subgroup,1071,-0.3,1.1,2019,1605
All households,HPIQ.SALL062,2,Out-patient services,subgroup,1074,0.3,1.1,2019,1606
All households,HPIQ.SALL062,3,Out-patient services,subgroup,1082,0.7,1.3,2019,1607
All households,HPIQ.SALL062,4,Out-patient services,subgroup,1088,0.6,1.3,2019,1608
All households,HPIQ.SALL063,1,Hospital services,subgroup,1149,0,4,2019,1659
All households,HPIQ.SALL063,2,Hospital services,subgroup,1152,0.3,4.3,2019,1660
All households,HPIQ.SALL063,3,Hospital services,subgroup,1167,1.3,2.8,2019,1661
All households,HPIQ.SALL063,4,Hospital services,subgroup,1177,0.9,2.4,2019,1662
All households,HPIQ.SALL07,1,Transport,group,920,-3.8,-0.1,2019,1713
All households,HPIQ.SALL07,2,Transport,group,930,1.1,0.9,2019,1714
All households,HPIQ.SALL07,3,Transport,group,935,0.5,-1.4,2019,1715
All households,HPIQ.SALL07,4,Transport,group,955,2.1,-0.1,2019,1716
All households,HPIQ.SALL071,1,Purchase of vehicles,subgroup,978,0.7,-2.3,2019,1767
All households,HPIQ.SALL071,2,Purchase of vehicles,subgroup,954,-2.5,-2.4,2019,1768
All households,HPIQ.SALL071,3,Purchase of vehicles,subgroup,953,-0.1,-2.3,2019,1769
All households,HPIQ.SALL071,4,Purchase of vehicles,subgroup,945,-0.8,-2.7,2019,1770
All households,HPIQ.SALL072,1,Private transport supplies and services,subgroup,916,-4.7,1.1,2019,1821
All households,HPIQ.SALL072,2,Private transport supplies and services,subgroup,955,4.3,2.9,2019,1822
All households,HPIQ.SALL072,3,Private transport supplies and services,subgroup,957,0.2,-0.8,2019,1823
All households,HPIQ.SALL072,4,Private transport supplies and services,subgroup,968,1.1,0.7,2019,1824
All households,HPIQ.SALL07202,1,Petrol,class,956,-6.9,0.5,2019,1875
All households,HPIQ.SALL07202,2,Petrol,class,1012,5.9,3.2,2019,1876
All households,HPIQ.SALL07202,3,Petrol,class,1004,-0.8,-2.9,2019,1877
All households,HPIQ.SALL07202,4,Petrol,class,1020,1.6,-0.7,2019,1878
All households,HPIQ.SALL073,1,Passenger transport services,subgroup,907,-6.2,-1.2,2019,1929
All households,HPIQ.SALL073,2,Passenger transport services,subgroup,875,-3.5,-1,2019,1930
All households,HPIQ.SALL073,3,Passenger transport services,subgroup,898,2.6,-1.6,2019,1931
All households,HPIQ.SALL073,4,Passenger transport services,subgroup,974,8.5,0.7,2019,1932
All households,HPIQ.SALL08,1,Communication,group,893,0.2,-2.1,2019,1983
All households,HPIQ.SALL08,2,Communication,group,886,-0.8,-1.4,2019,1984
All households,HPIQ.SALL08,3,Communication,group,876,-1.1,-1.2,2019,1985
All households,HPIQ.SALL08,4,Communication,group,864,-1.4,-3,2019,1986
All households,HPIQ.SALL081,1,Postal services,subgroup,1220,1,6.5,2019,2037
All households,HPIQ.SALL081,2,Postal services,subgroup,1227,0.6,7.3,2019,2038
All households,HPIQ.SALL081,3,Postal services,subgroup,1232,0.4,2.5,2019,2039
All households,HPIQ.SALL081,4,Postal services,subgroup,1228,-0.3,1.7,2019,2040
All households,HPIQ.SALL082,1,Telecommunication equipment,subgroup,413,-3.5,-22.8,2019,2091
All households,HPIQ.SALL082,2,Telecommunication equipment,subgroup,372,-9.9,-23.5,2019,2092
All households,HPIQ.SALL082,3,Telecommunication equipment,subgroup,361,-3,-18.9,2019,2093
All households,HPIQ.SALL082,4,Telecommunication equipment,subgroup,360,-0.3,-15.9,2019,2094
All households,HPIQ.SALL083,1,Telecommunication services,subgroup,930,0.5,0.5,2019,2145
All households,HPIQ.SALL083,2,Telecommunication services,subgroup,931,0.1,1.1,2019,2146
All households,HPIQ.SALL083,3,Telecommunication services,subgroup,922,-1,0.7,2019,2147
All households,HPIQ.SALL083,4,Telecommunication services,subgroup,908,-1.5,-1.8,2019,2148
All households,HPIQ.SALL09,1,Recreation and culture,group,1009,-1.1,0.5,2019,2199
All households,HPIQ.SALL09,2,Recreation and culture,group,1005,-0.4,1.8,2019,2200
All households,HPIQ.SALL09,3,Recreation and culture,group,1013,0.8,1.5,2019,2201
All households,HPIQ.SALL09,4,Recreation and culture,group,1027,1.4,0.7,2019,2202
All households,HPIQ.SALL091,1,Audio-visual and computing equipment,subgroup,585,-4.1,-11.5,2019,2253
All households,HPIQ.SALL091,2,Audio-visual and computing equipment,subgroup,539,-7.9,-11.6,2019,2254
All households,HPIQ.SALL091,3,Audio-visual and computing equipment,subgroup,548,1.7,-11.3,2019,2255
All households,HPIQ.SALL091,4,Audio-visual and computing equipment,subgroup,547,-0.2,-10.3,2019,2256
All households,HPIQ.SALL092,1,Major recreational and cultural equipment,subgroup,1071,0.1,0.8,2019,2307
All households,HPIQ.SALL092,2,Major recreational and cultural equipment,subgroup,1084,1.2,1.4,2019,2308
All households,HPIQ.SALL092,3,Major recreational and cultural equipment,subgroup,1091,0.6,2.6,2019,2309
All households,HPIQ.SALL092,4,Major recreational and cultural equipment,subgroup,1088,-0.3,1.7,2019,2310
All households,HPIQ.SALL093,1,Other recreational equipment and supplies,subgroup,1027,-2.2,1.7,2019,2361
All households,HPIQ.SALL093,2,Other recreational equipment and supplies,subgroup,1035,0.8,2.4,2019,2362
All households,HPIQ.SALL093,3,Other recreational equipment and supplies,subgroup,1033,-0.2,1.1,2019,2363
All households,HPIQ.SALL093,4,Other recreational equipment and supplies,subgroup,1040,0.7,-1,2019,2364
All households,HPIQ.SALL094,1,Recreational and cultural services,subgroup,1038,0.1,-0.9,2019,2415
All households,HPIQ.SALL094,2,Recreational and cultural services,subgroup,1046,0.8,2.5,2019,2416
All households,HPIQ.SALL094,3,Recreational and cultural services,subgroup,1057,1.1,2.8,2019,2417
All households,HPIQ.SALL094,4,Recreational and cultural services,subgroup,1058,0.1,2,2019,2418
All households,HPIQ.SALL095,1,"Newspapers, books and stationery",subgroup,1199,-2.8,4.8,2019,2469
All households,HPIQ.SALL095,2,"Newspapers, books and stationery",subgroup,1215,1.3,4.1,2019,2470
All households,HPIQ.SALL095,3,"Newspapers, books and stationery",subgroup,1229,1.2,2.6,2019,2471
All households,HPIQ.SALL095,4,"Newspapers, books and stationery",subgroup,1258,2.4,2,2019,2472
All households,HPIQ.SALL096,1,Accommodation services,subgroup,1244,1.9,5.6,2019,2523
All households,HPIQ.SALL096,2,Accommodation services,subgroup,1219,-2,5.5,2019,2524
All households,HPIQ.SALL096,3,Accommodation services,subgroup,1236,1.4,6.7,2019,2525
All households,HPIQ.SALL096,4,Accommodation services,subgroup,1294,4.7,6,2019,2526
All households,HPIQ.SALL10,1,Education,group,1034,1.1,1.3,2019,2577
All households,HPIQ.SALL10,2,Education,group,1034,0,1.1,2019,2578
All households,HPIQ.SALL10,3,Education,group,1041,0.7,1.8,2019,2579
All households,HPIQ.SALL10,4,Education,group,1041,0,1.8,2019,2580
All households,HPIQ.SALL101,1,Early childhood education,subgroup,1081,0,0.8,2019,2631
All households,HPIQ.SALL101,2,Early childhood education,subgroup,1081,0,0.2,2019,2632
All households,HPIQ.SALL101,3,Early childhood education,subgroup,1113,3,3,2019,2633
All households,HPIQ.SALL101,4,Early childhood education,subgroup,1113,0,3,2019,2634
All households,HPIQ.SALL102,1,Primary and secondary education,subgroup,1173,1.3,1.3,2019,2685
All households,HPIQ.SALL102,2,Primary and secondary education,subgroup,1173,0,1.3,2019,2686
All households,HPIQ.SALL102,3,Primary and secondary education,subgroup,1173,0,1.3,2019,2687
All households,HPIQ.SALL102,4,Primary and secondary education,subgroup,1173,0,1.3,2019,2688
All households,HPIQ.SALL103,1,Tertiary and other post school education,subgroup,927,1.3,1.3,2019,2739
All households,HPIQ.SALL103,2,Tertiary and other post school education,subgroup,927,0,1.3,2019,2740
All households,HPIQ.SALL103,3,Tertiary and other post school education,subgroup,927,0,1.3,2019,2741
All households,HPIQ.SALL103,4,Tertiary and other post school education,subgroup,927,0,1.3,2019,2742
All households,HPIQ.SALL104,1,Other educational fees,subgroup,1154,3.5,3.5,2019,2793
All households,HPIQ.SALL104,2,Other educational fees,subgroup,1154,0,3.5,2019,2794
All households,HPIQ.SALL104,3,Other educational fees,subgroup,1154,0,3.5,2019,2795
All households,HPIQ.SALL104,4,Other educational fees,subgroup,1154,0,3.5,2019,2796
All households,HPIQ.SALL11,1,Miscellaneous goods and services,group,1130,0.9,4.3,2019,2847
All households,HPIQ.SALL11,2,Miscellaneous goods and services,group,1145,1.3,4.6,2019,2848
All households,HPIQ.SALL11,3,Miscellaneous goods and services,group,1154,0.8,4.2,2019,2849
All households,HPIQ.SALL11,4,Miscellaneous goods and services,group,1164,0.9,3.9,2019,2850
All households,HPIQ.SALL111,1,Personal care,subgroup,996,0.3,1.1,2019,2901
All households,HPIQ.SALL111,2,Personal care,subgroup,1000,0.4,0.9,2019,2902
All households,HPIQ.SALL111,3,Personal care,subgroup,1000,0,1.4,2019,2903
All households,HPIQ.SALL111,4,Personal care,subgroup,1009,0.9,1.6,2019,2904
All households,HPIQ.SALL113,1,Personal effects,subgroup,1070,0.1,1.8,2019,2955
All households,HPIQ.SALL113,2,Personal effects,subgroup,1066,-0.4,0.5,2019,2956
All households,HPIQ.SALL113,3,Personal effects,subgroup,1072,0.6,0.8,2019,2957
All households,HPIQ.SALL113,4,Personal effects,subgroup,1114,3.9,4.2,2019,2958
All households,HPIQ.SALL114,1,Insurance,subgroup,1206,1.5,6.7,2019,3009
All households,HPIQ.SALL114,2,Insurance,subgroup,1229,1.9,7.1,2019,3010
All households,HPIQ.SALL114,3,Insurance,subgroup,1246,1.4,6.5,2019,3011
All households,HPIQ.SALL114,4,Insurance,subgroup,1256,0.8,5.7,2019,3012
All households,HPIQ.SALL115,1,Credit services,subgroup,846,-6.2,-8.9,2019,3063
All households,HPIQ.SALL115,2,Credit services,subgroup,844,-0.2,-6.7,2019,3064
All households,HPIQ.SALL115,3,Credit services,subgroup,806,-4.5,-10.9,2019,3065
All households,HPIQ.SALL115,4,Credit services,subgroup,799,-0.9,-11.4,2019,3066
All households,HPIQ.SALL116,1,Other miscellaneous services,subgroup,1132,0.5,1.8,2019,3117
All households,HPIQ.SALL116,2,Other miscellaneous services,subgroup,1137,0.4,1.9,2019,3118
All households,HPIQ.SALL116,3,Other miscellaneous services,subgroup,1141,0.4,1.7,2019,3119
All households,HPIQ.SALL116,4,Other miscellaneous services,subgroup,1147,0.5,1.9,2019,3120
All households,HPIQ.SALL13,1,Interest payments,group,1141,-1.7,-2.4,2019,3171
All households,HPIQ.SALL13,2,Interest payments,group,1127,-1.2,-4.3,2019,3172
All households,HPIQ.SALL13,3,Interest payments,group,1097,-2.7,-5.7,2019,3173
All households,HPIQ.SALL13,4,Interest payments,group,1076,-1.9,-7.3,2019,3174
All households,HPIQ.SALL131,1,Interest payments,subgroup,1141,-1.7,-2.4,2019,3225
All households,HPIQ.SALL131,2,Interest payments,subgroup,1127,-1.2,-4.3,2019,3226
All households,HPIQ.SALL131,3,Interest payments,subgroup,1097,-2.7,-5.7,2019,3227
All households,HPIQ.SALL131,4,Interest payments,subgroup,1076,-1.9,-7.3,2019,3228
All households,HPIQ.SALLA,1,All groups,All groups,1057,0,1.3,2019,3279
All households,HPIQ.SALLA,2,All groups,All groups,1063,0.6,1.5,2019,3280
All households,HPIQ.SALLA,3,All groups,All groups,1070,0.7,1.3,2019,3281
All households,HPIQ.SALLA,4,All groups,All groups,1073,0.3,1.5,2019,3282
Beneficiary,HPIQ.SBEN01,1,Food,group,1030,1.1,1.1,2019,3333
Beneficiary,HPIQ.SBEN01,2,Food,group,1031,0.1,1,2019,3334
Beneficiary,HPIQ.SBEN01,3,Food,group,1045,1.4,1.7,2019,3335
Beneficiary,HPIQ.SBEN01,4,Food,group,1045,0,2.6,2019,3336
Beneficiary,HPIQ.SBEN011,1,Fruit and vegetables,subgroup,1074,4.8,-1.6,2019,3387
Beneficiary,HPIQ.SBEN011,2,Fruit and vegetables,subgroup,1050,-2.2,-4.1,2019,3388
Beneficiary,HPIQ.SBEN011,3,Fruit and vegetables,subgroup,1070,1.9,-4.7,2019,3389
Beneficiary,HPIQ.SBEN011,4,Fruit and vegetables,subgroup,1040,-2.8,1.5,2019,3390
Beneficiary,HPIQ.SBEN012,1,"Meat, poultry and fish",subgroup,1017,-0.3,1.6,2019,3441
Beneficiary,HPIQ.SBEN012,2,"Meat, poultry and fish",subgroup,1022,0.5,2.9,2019,3442
Beneficiary,HPIQ.SBEN012,3,"Meat, poultry and fish",subgroup,1055,3.2,6.6,2019,3443
Beneficiary,HPIQ.SBEN012,4,"Meat, poultry and fish",subgroup,1070,1.4,4.9,2019,3444
Beneficiary,HPIQ.SBEN013,1,Grocery food,subgroup,996,0.6,1,2019,3495
Beneficiary,HPIQ.SBEN013,2,Grocery food,subgroup,997,0.1,1.6,2019,3496
Beneficiary,HPIQ.SBEN013,3,Grocery food,subgroup,1003,0.6,1.7,2019,3497
Beneficiary,HPIQ.SBEN013,4,Grocery food,subgroup,1007,0.4,1.7,2019,3498
Beneficiary,HPIQ.SBEN014,1,Non-alcoholic beverages,subgroup,1025,0.9,1.4,2019,3549
Beneficiary,HPIQ.SBEN014,2,Non-alcoholic beverages,subgroup,1031,0.6,-0.9,2019,3550
Beneficiary,HPIQ.SBEN014,3,Non-alcoholic beverages,subgroup,1048,1.6,0.7,2019,3551
Beneficiary,HPIQ.SBEN014,4,Non-alcoholic beverages,subgroup,1036,-1.1,2,2019,3552
Beneficiary,HPIQ.SBEN015,1,Restaurant meals and ready-to-eat food,subgroup,1119,0.7,3.1,2019,3603
Beneficiary,HPIQ.SBEN015,2,Restaurant meals and ready-to-eat food,subgroup,1136,1.5,3.6,2019,3604
Beneficiary,HPIQ.SBEN015,3,Restaurant meals and ready-to-eat food,subgroup,1144,0.7,3.5,2019,3605
Beneficiary,HPIQ.SBEN015,4,Restaurant meals and ready-to-eat food,subgroup,1152,0.7,3.7,2019,3606
Beneficiary,HPIQ.SBEN02,1,Alcoholic beverages and tobacco,group,1401,6.9,6.1,2019,3657
Beneficiary,HPIQ.SBEN02,2,Alcoholic beverages and tobacco,group,1404,0.2,5.3,2019,3658
Beneficiary,HPIQ.SBEN02,3,Alcoholic beverages and tobacco,group,1409,0.4,6,2019,3659
Beneficiary,HPIQ.SBEN02,4,Alcoholic beverages and tobacco,group,1403,-0.4,7,2019,3660
Beneficiary,HPIQ.SBEN021,1,Alcoholic beverages,subgroup,1040,2.3,2.1,2019,3711
Beneficiary,HPIQ.SBEN021,2,Alcoholic beverages,subgroup,1048,0.8,0,2019,3712
Beneficiary,HPIQ.SBEN021,3,Alcoholic beverages,subgroup,1058,1,1.9,2019,3713
Beneficiary,HPIQ.SBEN021,4,Alcoholic beverages,subgroup,1043,-1.4,2.6,2019,3714
Beneficiary,HPIQ.SBEN022,1,Cigarettes and tobacco,subgroup,1628,9.1,8,2019,3765
Beneficiary,HPIQ.SBEN022,2,Cigarettes and tobacco,subgroup,1628,0,7.9,2019,3766
Beneficiary,HPIQ.SBEN022,3,Cigarettes and tobacco,subgroup,1629,0.1,8,2019,3767
Beneficiary,HPIQ.SBEN022,4,Cigarettes and tobacco,subgroup,1629,0,9.2,2019,3768
Beneficiary,HPIQ.SBEN03,1,Clothing and footwear,group,1001,1.2,-0.7,2019,3819
Beneficiary,HPIQ.SBEN03,2,Clothing and footwear,group,1006,0.5,-0.3,2019,3820
Beneficiary,HPIQ.SBEN03,3,Clothing and footwear,group,998,-0.8,-1.1,2019,3821
Beneficiary,HPIQ.SBEN03,4,Clothing and footwear,group,1007,0.9,1.8,2019,3822
Beneficiary,HPIQ.SBEN031,1,Clothing,subgroup,1000,1.4,-1,2019,3873
Beneficiary,HPIQ.SBEN031,2,Clothing,subgroup,1004,0.4,-0.4,2019,3874
Beneficiary,HPIQ.SBEN031,3,Clothing,subgroup,997,-0.7,-1.1,2019,3875
Beneficiary,HPIQ.SBEN031,4,Clothing,subgroup,1007,1,2.1,2019,3876
Beneficiary,HPIQ.SBEN032,1,Footwear,subgroup,1029,-0.7,4.4,2019,3927
Beneficiary,HPIQ.SBEN032,2,Footwear,subgroup,1032,0.3,0.1,2019,3928
Beneficiary,HPIQ.SBEN032,3,Footwear,subgroup,1030,-0.2,0,2019,3929
Beneficiary,HPIQ.SBEN032,4,Footwear,subgroup,1020,-1,-1.5,2019,3930
Beneficiary,HPIQ.SBEN04,1,Housing and household utilities,group,1114,0.7,2.7,2019,3981
Beneficiary,HPIQ.SBEN04,2,Housing and household utilities,group,1125,1,2.8,2019,3982
Beneficiary,HPIQ.SBEN04,3,Housing and household utilities,group,1135,0.9,3.1,2019,3983
Beneficiary,HPIQ.SBEN04,4,Housing and household utilities,group,1144,0.8,3.4,2019,3984
Beneficiary,HPIQ.SBEN041,1,Actual rentals for housing,subgroup,1115,0.6,2.5,2019,4035
Beneficiary,HPIQ.SBEN041,2,Actual rentals for housing,subgroup,1128,1.2,2.9,2019,4036
Beneficiary,HPIQ.SBEN041,3,Actual rentals for housing,subgroup,1138,0.9,3.4,2019,4037
